pl_controv_flag,pl_name,hostname,pl_letter,sy_snum,discoverymethod,disc_year,pl_radj,pl_massj,st_spectype,st_rad,st_mass,st_met,st_lum,st_teff,st_rad.1
0,Kepler-1672 b,Kepler-1672,b,1,Transit,2020,0.26498596,,,1.08841,1.16,-0.25,0.17867,6131.95,1.08841
0,Kepler-82 d,Kepler-82,d,1,Transit,2014,0.158,2.78482973990427,,0.945,0.946,0.2107,-0.18507,5428.0,0.945
0,Kepler-20 b,Kepler-20,b,2,Transit,2011,0.15817674,0.0305196130564881,,0.9164,0.929,0.07,-0.16451,5495.0,0.9164
0,TOI-1117 d,TOI-1117,d,1,Radial Velocity,2025,0.291,,G5 V,1.05,0.97,0.136,-0.4437,5635.0,1.05
0,TIC 88785435 b,TIC 88785435,b,1,Transit,2025,0.44874732,,K7 V,0.911,0.724,-0.08,-0.69596,3998.0,0.911
0,Kepler-1229 b,Kepler-1229,b,1,Transit,2016,0.12489963,,,0.51,0.54,-0.06,-1.533,3784.0,0.51
0,Kepler-1837 b,Kepler-1837,b,1,Transit,2021,0.18438237,,,0.961,1.049,-0.02,-0.06826,5966.0,0.961
0,Kepler-406 b,Kepler-406,b,1,Transit,2014,0.1276,0.02,,1.07,1.07,0.18,0.0482,5538.0,1.07
0,Kepler-1855 b,Kepler-1855,b,1,Transit,2021,0.10850273,,,0.356,0.385,0.07,-1.2949,3460.0,0.356
0,Kepler-446 b,Kepler-446,b,1,Transit,2015,0.13,,M4,0.24,0.22,-0.3,-2.24766,3359.0,0.24
0,Kepler-231 b,Kepler-231,b,1,Transit,2014,0.154,0.111,M1 V,0.49,0.58,-0.1,-1.03621,3767.0,0.49
0,Kepler-1232 b,Kepler-1232,b,1,Transit,2016,0.17218307,,,0.89,0.92,0.06,-0.35931,5471.0,0.89
0,Kepler-1168 b,Kepler-1168,b,1,Transit,2016,0.22303506,,,0.82,0.87,0.13,-0.5302,5157.0,0.82
0,Kepler-1680 b,Kepler-1680,b,1,Transit,2020,0.12129069,,,0.723259,0.834,-0.07,-0.52356,5021.0,0.723259
0,Kepler-1831 b,Kepler-1831,b,1,Transit,2021,0.17576961,,,1.012,1.117,0.07,-0.0455,6063.0,1.012
0,Kepler-201 c,Kepler-201,c,1,Transit,2014,0.254,,,1.229,1.098,-0.0442,0.34816,6065.0,1.229
0,HD 224018 d,HD 224018,d,1,Transit,2025,0.21411403,0.0132146778182732,G V,1.147,1.013,0.05,0.12385,5784.0,1.147
0,Kepler-1785 b,Kepler-1785,b,1,Transit,2021,0.24125516,,,0.996,0.911,0.0,0.00308,5618.0,0.996
0,Kepler-1152 b,Kepler-1152,b,1,Transit,2016,0.0776162,,,0.53,0.55,-0.25,-1.09668,3964.0,0.53
0,Kepler-175 c,Kepler-175,c,1,Transit,2014,0.277,,,1.01,0.969,0.04,0.19402,6064.0,1.01
0,Kepler-1296 b,Kepler-1296,b,1,Transit,2016,0.08118476,,,0.83,0.87,-0.04,0.48615,5359.0,0.83
0,Kepler-1345 b,Kepler-1345,b,1,Transit,2016,0.2105451,,,1.55,1.32,0.04,0.69266,6449.0,1.55
0,Kepler-1798 b,Kepler-1798,b,1,Transit,2021,0.20600557,,,0.587,0.593,0.06,-0.95681,3967.0,0.587
0,Kepler-1187 b,Kepler-1187,b,1,Transit,2016,0.2328486,,,1.09,1.06,-0.01,0.13585,5975.0,1.09
0,Kepler-430 b,Kepler-430,b,1,Transit,2015,0.29,,,1.485,1.166,0.2,0.31207,5884.0,1.485
0,Kepler-385 c,Kepler-385,c,1,Transit,2014,0.271,0.042,,1.126,0.992,0.01,0.14374,6326.0,1.126
0,Kepler-1716 b,Kepler-1716,b,1,Transit,2021,0.21632373,,,0.684,0.753,-0.24,-0.62363,4894.0,0.684
0,Kepler-1113 b,Kepler-1113,b,1,Transit,2016,0.25069141,,,1.17,1.12,0.18,0.07994,5931.0,1.17
0,Kepler-60 b,Kepler-60,b,1,Transit,2012,0.15255598,0.0131831482238933,,1.257,1.041,-0.09,0.36906,5905.0,1.257
0,Kepler-104 d,Kepler-104,d,2,Transit,2014,0.319,,,1.349,0.818,-0.42,0.08926,5711.0,1.349
